suite,metric,value,threshold,passed
deterministic,pathway_accuracy,1.0,1.0,True
deterministic,breach_status_accuracy,1.0,1.0,True
deterministic,risk_level_accuracy,1.0,1.0,True
deterministic,risk_score_exact_match_rate,1.0,1.0,True
deterministic,action_code_accuracy,1.0,1.0,True
deterministic,schema_compliance_rate,1.0,1.0,True
agent_mock,valid_output_rate,1.0,1.0,True
agent_mock,deterministic_preservation_rate,1.0,1.0,True
agent_mock,evidence_grounding_rate,1.0,1.0,True
agent_mock,unsupported_claim_free_rate,1.0,1.0,True
agent_mock,prohibited_language_free_rate,1.0,1.0,True
agent_mock,human_review_enforcement_rate,1.0,1.0,True
agent_mock_mcp,valid_output_rate,1.0,1.0,True
agent_mock_mcp,deterministic_preservation_rate,1.0,1.0,True
agent_mock_mcp,evidence_grounding_rate,1.0,1.0,True
agent_mock_mcp,unsupported_claim_free_rate,1.0,1.0,True
agent_mock_mcp,prohibited_language_free_rate,1.0,1.0,True
agent_mock_mcp,human_review_enforcement_rate,1.0,1.0,True
execution_mode_parity,execution_mode_parity_rate,1.0,1.0,True
skills,skill_load_rate,1.0,1.0,True
skills,input_validation_rate,1.0,1.0,True
skills,output_validation_rate,1.0,1.0,True
skills,deterministic_preservation_rate,1.0,1.0,True
evidence,evidence_grounding_rate,1.0,1.0,True
evidence,source_metadata_rate,1.0,1.0,True
evidence,demonstration_flag_rate,1.0,1.0,True
evidence,evidence_injection_safe_rate,1.0,1.0,True
review,valid_transition_rate,1.0,1.0,True
review,immutable_field_protection_rate,1.0,1.0,True
review,integrity_detection_rate,1.0,1.0,True
review,submitted_false_rate,1.0,1.0,True
reproducibility,deterministic_reproducibility_rate,1.0,1.0,True
reproducibility,mock_reproducibility_rate,1.0,1.0,True
reproducibility,mock_mcp_reproducibility_rate,1.0,1.0,True
security,precision,1.0,,
security,recall,1.0,,
security,f1,1.0,,
security,blocking_case_pass_rate,1.0,,
